property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Villa,785000.0,5.0,450.0,1.0,0.0,1.0,0.0,1.0,0.0,12700.0,4.0,0.0,3.0,5.0,0.514,7130,1,5.0
House,Residence,498000.0,4.0,171.0,0.0,0.0,1.0,0.0,1.0,0.0,400.0,3.0,0.0,2.0,1.5,0.75,3190,0,6.0
House,Residence,285000.0,2.0,128.0,0.0,0.0,0.0,0.0,1.0,0.0,189.0,3.0,0.0,1.0,3.7,0.591,2350,0,6.0
House,Residence,119000.0,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,1.0,4.3,0.321,4460,1,3.0
House,Residence,565000.0,4.0,175.0,0.0,0.0,1.0,30.0,1.0,200.0,0.0,2.0,0.0,2.0,1.8,1.3,1420,1,9.0
House,Residence,560000.0,5.0,213.0,0.0,0.0,1.0,9.0,1.0,85.0,182.0,2.0,0.0,3.0,2.9,0.242,1200,1,4.0
Apartment,Apartment,394000.0,3.0,120.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,3.8,0.161,1700,0,6.0
Apartment,Ground Floor,499500.0,2.0,122.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.978,0.24,2140,0,9.0
House,Chalet,65000.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.1,0.604,4140,1,9.0
House,Residence,330000.0,3.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,477.0,4.0,0.0,2.0,6.5,0.215,2820,0,4.0
House,Residence,260000.0,4.0,116.0,1.0,0.0,1.0,0.0,1.0,563.0,700.0,4.0,0.0,1.0,1.1,1.1,5500,1,6.0
House,Residence,599000.0,7.0,427.0,0.0,0.0,1.0,0.0,1.0,3406.0,4183.0,4.0,1.0,3.0,5.4,0.081,4845,1,5.0
