locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
7130 Binche,House,Villa,785000.0,5.0,450.0,1.0,0.0,1.0,0.0,1.0,0.0,12700.0,4.0,0.0,3.0,5.0,0.514,1,7130,1,5.0
3190 Boortmeerbeek,House,Residence,498000.0,4.0,171.0,0.0,0.0,1.0,0.0,1.0,0.0,400.0,3.0,0.0,2.0,1.5,0.75,1,3190,0,6.0
2350 Vosselaar,House,Residence,285000.0,2.0,128.0,0.0,0.0,0.0,0.0,1.0,0.0,189.0,3.0,0.0,1.0,3.7,0.591,1,2350,0,6.0
4460 Grâce-Hollogne,House,Residence,119000.0,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,1.0,4.3,0.321,1,4460,1,3.0
1420 Braine-l'Alleud,House,Residence,565000.0,4.0,175.0,0.0,0.0,1.0,30.0,1.0,200.0,0.0,2.0,0.0,2.0,1.8,1.3,1,1420,1,9.0
1200 Sint-Lambrechts-Woluwe,House,Residence,560000.0,5.0,213.0,0.0,0.0,1.0,9.0,1.0,85.0,182.0,2.0,0.0,3.0,2.9,0.242,1,1200,1,4.0
1700 Dilbeek,Apartment,Apartment,394000.0,3.0,120.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,3.8,0.161,0,1700,0,6.0
2140 Antwerp,Apartment,Ground Floor,499500.0,2.0,122.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.978,0.24,0,2140,0,9.0
4140 Sprimont,House,Chalet,65000.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.1,0.604,1,4140,1,9.0
2820 Bonheiden,House,Residence,330000.0,3.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,477.0,4.0,0.0,2.0,6.5,0.215,1,2820,0,4.0
5500 Dinant,House,Residence,260000.0,4.0,116.0,1.0,0.0,1.0,0.0,1.0,563.0,700.0,4.0,0.0,1.0,1.1,1.1,1,5500,1,6.0
4845 Jalhay,House,Residence,599000.0,7.0,427.0,0.0,0.0,1.0,0.0,1.0,3406.0,4183.0,4.0,1.0,3.0,5.4,0.081,1,4845,1,5.0
8500 Kortrijk,House,Residence,269000.0,3.0,110.0,1.0,0.0,1.0,0.0,1.0,0.0,120.0,3.0,0.0,2.0,1.5,0.403,1,8500,0,6.0
6940 Durbuy,House,Residence,599000.0,4.0,176.0,0.0,0.0,1.0,59.0,1.0,855.0,961.0,4.0,1.0,3.0,2.1,0.821,1,6940,1,5.0
1400 Nivelles,House,Residence,265000.0,2.0,133.0,0.0,0.0,1.0,10.0,0.0,0.0,73.0,2.0,0.0,3.0,1.2,0.219,1,1400,1,5.0
