Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1000 Brussels,Apartment,Apartment,365000.0,for sale,2.0,,,1.0,,1.0,,0.0,,,,2.0,,
3070 Kortenberg,Apartment,Apartment,349000.0,for sale,2.0,79.0,0.0,0.0,,1.0,,0.0,,,,,0.0,Normal
4140 Sprimont,House,Residence,175000.0,for sale,2.0,75.0,0.0,0.0,,0.0,,1.0,,46.0,,3.0,0.0,Normal
1325 Chaumont Gistoux,House,Villa,783045.0,for sale,3.0,335.0,,,,,,1.0,,4500.0,,4.0,,New
8890 Moorslede,House,Residence,389000.0,for sale,4.0,220.0,,,,1.0,29.0,1.0,,411.0,,2.0,,
4602 Cheratte,House,Residence,335000.0,for sale,3.0,170.0,,0.0,,1.0,,1.0,,2825.0,,4.0,,Normal
3740 Beverst,House,Residence,415000.0,for sale,3.0,141.0,,,,1.0,28.0,1.0,,445.0,,3.0,1.0,
8750 Wingene,Apartment,Penthouse,495000.0,for sale,2.0,152.0,0.0,,,1.0,,,,,,,,Excellent
1030 Schaarbeek,Apartment,Apartment,399000.0,for sale,1.0,70.0,,0.0,,1.0,40.0,1.0,66.0,,,2.0,,Normal
8790 Waregem,House,Cottage,,for sale,5.0,2500.0,0.0,0.0,1.0,1.0,,1.0,,27546.0,,4.0,0.0,Excellent
1200 Sint Lambrechts Woluwe,Apartment,Apartment,,for sale,2.0,,,0.0,,1.0,,1.0,,,,2.0,,New
1000 Brussels,Apartment,Apartment,620000.0,for sale,2.0,113.0,1.0,0.0,,1.0,2.0,0.0,,,,2.0,,Fully renovated
1040 Etterbeek,House,Residence,750000.0,for sale,4.0,235.0,,,0.0,1.0,8.0,1.0,,140.0,,,,Normal
1410 Waterloo,House,Residence,990000.0,for sale,5.0,400.0,1.0,0.0,,1.0,7.0,1.0,1200.0,1799.0,,4.0,0.0,To renovate
3582 Koersel,Apartment,Apartment,298000.0,for sale,1.0,73.0,,0.0,,1.0,14.0,0.0,,,,3.0,,New
4101 Jemeppe,House,Residence,395000.0,for sale,6.0,230.0,0.0,0.0,,1.0,50.0,1.0,270.0,420.0,,3.0,0.0,Excellent
4000 Liege,House,Residence,289000.0,for sale,2.0,134.0,,0.0,,0.0,,1.0,80.0,205.0,,3.0,,Normal
9160 Lokeren,Apartment,Apartment,240566.0,for sale,1.0,76.0,1.0,,,1.0,,1.0,,,,,,
5150 Franiere,Apartment,Apartment,159000.0,for sale,2.0,108.0,,0.0,,1.0,,1.0,,,,2.0,,
5670 Dourbes,House,Residence,250000.0,for sale,5.0,192.0,,0.0,,0.0,,1.0,,677.0,,3.0,,
1200 Sint Lambrechts Woluwe,Apartment,Apartment,,for sale,3.0,133.0,0.0,0.0,,1.0,13.0,0.0,,,,4.0,0.0,New
3920 Lommel,House,Residence,425000.0,for sale,4.0,270.0,,0.0,,1.0,,1.0,,267.0,,2.0,,Normal
9506 Idegem,House,Residence,649000.0,for sale,5.0,400.0,0.0,0.0,,1.0,30.0,1.0,1500.0,2618.0,,4.0,0.0,Excellent
2960 Sint Job In  T Goor,House,Residence,539000.0,for sale,4.0,178.0,,0.0,,1.0,,1.0,,582.0,,4.0,,To be renovated
4219 Wasseiges,House,Residence,475000.0,for sale,3.0,190.0,,0.0,,1.0,20.0,1.0,,1120.0,,4.0,,
1080 Sint Jans Molenbeek,Apartment,Apartment,120000.0,in public sale,2.0,,,,,0.0,,0.0,,,,,,
4250 Geer,House,Residence,405000.0,for sale,4.0,184.0,1.0,,,1.0,18.0,1.0,754.0,970.0,,2.0,0.0,Fully renovated
1050 Elsene,House,Residence,675000.0,in public sale,3.0,,,,,1.0,,1.0,,125.0,,2.0,,
8800 Roeselare,House,Residence,149000.0,for sale,3.0,128.0,,,,1.0,,0.0,,97.0,,2.0,,
6001 Marcinelle,House,Residence,169000.0,for sale,3.0,107.0,,0.0,,1.0,,1.0,,254.0,,2.0,,
3650 Dilsen Stokkem,House,Residence,415489.0,for sale,3.0,188.0,,,,1.0,,1.0,70.0,,,,,
6880 Bertrix,House,Residence,185000.0,for sale,3.0,107.0,0.0,0.0,,0.0,,1.0,486.0,486.0,,3.0,0.0,Normal
4877 Olne,House,Cottage,425000.0,for sale,3.0,150.0,,0.0,,1.0,49.0,1.0,5800.0,6386.0,,4.0,,Normal
8620 Nieuwpoort,Apartment,Apartment,435000.0,for sale,2.0,101.0,,,,1.0,10.0,1.0,,,,,,New
8800 Roeselare,House,Residence,339000.0,for sale,3.0,175.0,,,,1.0,,1.0,,192.0,,,,Excellent
8480 Eernegem,Apartment,Apartment,245000.0,for sale,2.0,90.0,,,,1.0,,0.0,,,,,,
3945 Ham,House,Residence,530000.0,for sale,3.0,189.0,,,,1.0,18.0,1.0,,373.0,,2.0,1.0,
7700 Mouscron,House,Residence,279000.0,for sale,3.0,184.0,1.0,,0.0,1.0,15.0,1.0,20.0,108.0,,2.0,0.0,Excellent
5600 Roly,House,Residence,1280000.0,for sale,9.0,340.0,,0.0,,1.0,,1.0,,52809.0,,,,
6800 Libramont Chevigny,Apartment,Apartment,275000.0,for sale,2.0,80.0,,0.0,,1.0,14.0,1.0,335.0,,,3.0,,
3650 Dilsen Stokkem,Apartment,Apartment,326253.0,for sale,2.0,106.0,1.0,,,1.0,38.0,1.0,204.0,,,,,New
7370 Dour,House,Residence,230000.0,for sale,2.0,101.0,0.0,0.0,,1.0,20.0,1.0,,151.0,,3.0,0.0,Excellent
6500 Beaumont,House,Residence,300000.0,for sale,7.0,,,,,0.0,,1.0,,,,,,
2960 Sint Lenaarts,House,Residence,199000.0,for sale,2.0,112.0,,0.0,,1.0,,1.0,,281.0,,3.0,,To be renovated
1400 Nivelles,House,Mixed Building,425000.0,for sale,3.0,162.0,,0.0,,1.0,15.0,0.0,,90.0,,2.0,0.0,Excellent
7387 Onnezies,House,Residence,110000.0,for sale,3.0,82.0,,0.0,,0.0,,1.0,,150.0,,3.0,,To be renovated
4032 Chenee,House,Residence,249000.0,for sale,3.0,152.0,1.0,,,1.0,,1.0,,135.0,,2.0,0.0,Excellent
8470 Gistel,House,Residence,395000.0,for sale,3.0,184.0,0.0,,,1.0,,1.0,,354.0,,3.0,0.0,New
2920 Kalmthout,House,Residence,585000.0,for sale,3.0,193.0,,0.0,,1.0,,1.0,,830.0,,4.0,,To be renovated
1150 Sint Pieters Woluwe,Apartment,Apartment,910000.0,for sale,4.0,203.0,0.0,0.0,,1.0,40.0,,,,,3.0,,Excellent
8610 Handzame,House,Residence,549000.0,for sale,6.0,,,,,0.0,,0.0,,1138.0,,2.0,,
5550 Chairiere,House,Residence,100000.0,in public sale,3.0,,,,,0.0,,1.0,,,,,,
6210 Les Bons Villers,House,Residence,299900.0,for sale,3.0,152.0,1.0,0.0,,1.0,20.0,1.0,150.0,251.0,,2.0,,Normal
4000 Liege,House,Mixed Building,229000.0,for sale,4.0,140.0,,0.0,,1.0,,0.0,,,,2.0,0.0,Normal
