locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
3190 Boortmeerbeek,House,Residence,498000.0,for sale,4.0,171.0,0.0,0.0,1.0,,1.0,,400.0,3.0,0.0,Normal,2.0,1.5,0.75,2912.28,3190,Flanders,False,466166.7,5.0
2350 Vosselaar,House,Residence,285000.0,for sale,2.0,128.0,0.0,0.0,0.0,0.0,1.0,,189.0,3.0,0.0,Normal,1.0,3.7,0.591,2226.56,2350,Flanders,False,403642.9,5.0
4460 Grâce-Hollogne,House,Residence,119000.0,for sale,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,To renovate,1.0,4.3,0.321,1252.63,4460,Wallonia,False,262344.8,3.0
1420 Braine-l'Alleud,House,Residence,565000.0,for sale,4.0,175.0,0.0,,1.0,30.0,1.0,200.0,,2.0,0.0,Excellent,,1.8,1.3,3228.57,1420,Wallonia,False,636935.7,8.0
1200 Sint-Lambrechts-Woluwe,House,Residence,560000.0,for sale,5.0,213.0,0.0,0.0,1.0,9.0,1.0,85.0,182.0,2.0,0.0,To be renovated,3.0,2.9,0.242,2629.11,1200,Brussels,False,584235.9,4.0
1700 Dilbeek,Apartment,Apartment,394000.0,for sale,3.0,120.0,0.0,0.0,1.0,8.0,0.0,0.0,,,0.0,Normal,1.0,3.8,0.161,3283.33,1700,Flanders,False,467733.4,5.0
7760 Escanaffles,House,Residence,149000.0,for sale,3.0,106.0,1.0,,1.0,17.0,1.0,129.0,200.0,2.0,0.0,Normal,1.0,10.2,0.035,1405.66,7760,Wallonia,False,522000.0,5.0
2140 Antwerp,Apartment,Ground Floor,499500.0,for sale,2.0,122.0,1.0,,1.0,17.0,0.0,0.0,,,0.0,Excellent,,0.978,0.24,4094.26,2140,Flanders,False,353166.7,8.0
7780 Comines-Warneton,House,Residence,314000.0,for sale,3.0,155.0,0.0,0.0,0.0,0.0,1.0,,415.0,4.0,0.0,New,,1.3,0.254,2025.81,7780,Wallonia,False,191000.0,9.0
4140 Sprimont,House,Chalet,65000.0,for sale,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,Excellent,,6.1,0.604,2708.33,4140,Wallonia,False,362890.9,8.0
2820 Bonheiden,House,Residence,330000.0,for sale,3.0,147.0,0.0,,0.0,0.0,1.0,,477.0,4.0,0.0,To be renovated,2.0,6.5,0.215,2244.9,2820,Flanders,False,733294.6,4.0
5500 Dinant,House,Residence,260000.0,for sale,4.0,116.0,1.0,0.0,1.0,,1.0,563.0,700.0,4.0,0.0,Normal,1.0,1.1,1.1,2241.38,5500,Wallonia,False,254214.8,5.0
4845 Jalhay,House,Residence,599000.0,for sale,7.0,427.0,0.0,0.0,1.0,,1.0,3406.0,4183.0,4.0,1.0,,3.0,5.4,0.081,1402.81,4845,Wallonia,False,502500.0,
8500 Kortrijk,House,Residence,269000.0,for sale,3.0,110.0,1.0,,1.0,,1.0,,120.0,3.0,0.0,Normal,2.0,1.5,0.403,2445.45,8500,Flanders,False,404279.9,5.0
6940 Durbuy,House,Residence,599000.0,for sale,4.0,176.0,0.0,0.0,1.0,59.0,1.0,855.0,961.0,4.0,1.0,,3.0,2.1,0.821,3403.41,6940,Wallonia,False,358881.0,
1400 Nivelles,House,Residence,265000.0,for sale,2.0,133.0,0.0,0.0,1.0,10.0,0.0,0.0,73.0,2.0,0.0,,3.0,1.2,0.219,1992.48,1400,Wallonia,False,303759.6,
1070 Anderlecht,House,Residence,475000.0,for sale,3.0,134.0,1.0,0.0,1.0,,1.0,,321.0,3.0,0.0,To be renovated,2.0,0.724,0.276,3544.78,1070,Brussels,False,311250.8,4.0
