locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
7130 Binche,House,Villa,785000,for sale,5.0,450.0,1.0,None,1.0,None,1.0,None,12700.0,4.0,None,None,3.0,5.0,0.514
3190 Boortmeerbeek,House,Residence,498000,for sale,4.0,171.0,None,0.0,1.0,None,1.0,None,400.0,3.0,None,Normal,2.0,1.5,0.75
2350 Vosselaar,House,Residence,285000,for sale,2.0,128.0,None,0.0,0.0,None,1.0,None,189.0,3.0,None,Normal,1.0,3.7,0.591
4460 Grâce-Hollogne,House,Residence,119000,for sale,2.0,95.0,None,0.0,0.0,None,0.0,None,31.0,3.0,0.0,To renovate,1.0,4.3,0.321
1420 Braine-l'Alleud,House,Residence,565000,for sale,4.0,175.0,None,None,1.0,30.0,1.0,200.0,None,2.0,None,Excellent,None,1.8,1.3
1200 Sint-Lambrechts-Woluwe,House,Residence,560000,for sale,5.0,213.0,None,0.0,1.0,9.0,1.0,85.0,182.0,2.0,None,To be renovated,3.0,2.9,0.242
1700 Dilbeek,Apartment,Apartment,394000,for sale,3.0,120.0,None,0.0,1.0,8.0,0.0,None,None,None,None,Normal,1.0,3.8,0.161
7760 Escanaffles,House,Residence,149000,for sale,3.0,106.0,1.0,None,1.0,17.0,1.0,129.0,200.0,2.0,0.0,Normal,1.0,10.2,0.035
2140 Antwerp,Apartment,Ground Floor,499500,for sale,2.0,122.0,1.0,None,1.0,17.0,None,None,None,None,None,Excellent,None,0.978,0.24
7780 Comines-Warneton,House,Residence,314000,for sale,3.0,155.0,None,0.0,None,None,1.0,None,415.0,4.0,None,New,None,1.3,0.254
4140 Sprimont,House,Chalet,65000,for sale,2.0,24.0,1.0,0.0,0.0,None,0.0,None,None,4.0,0.0,Excellent,None,6.1,0.604
6640 Vaux-sur-Sûre,House,Residence,95000,for sale,3.0,None,None,0.0,0.0,None,1.0,None,732.0,4.0,None,To be renovated,1.0,None,0.262
2820 Bonheiden,House,Residence,330000,for sale,3.0,147.0,None,None,0.0,None,1.0,None,477.0,4.0,None,To be renovated,2.0,6.5,0.215
5500 Dinant,House,Residence,260000,for sale,4.0,116.0,1.0,0.0,1.0,None,1.0,563.0,700.0,4.0,0.0,Normal,1.0,1.1,1.1
4845 Jalhay,House,Residence,599000,for sale,7.0,427.0,None,0.0,1.0,None,1.0,3406.0,4183.0,4.0,1.0,None,3.0,5.4,0.081
